,Year,Colony,Nest Count
0,1979,Litchfield Island,564.0
1,1980,Litchfield Island,650.0
2,1983,Litchfield Island,635.0
3,1983,Litchfield Island,482.0
4,1984,Litchfield Island,549.0
5,1985,Litchfield Island,586.0
6,1986,Litchfield Island,577.0
7,1987,Litchfield Island,430.0
8,1989,Litchfield Island,606.0
9,1990,Litchfield Island,448.0
10,1991,Litchfield Island,497.0
11,1992,Litchfield Island,496.0
12,1993,Litchfield Island,485.0
13,1994,Litchfield Island,425.0
14,1995,Litchfield Island,410.0
15,1996,Litchfield Island,346.0
16,1997,Litchfield Island,365.0
17,1998,Litchfield Island,338.0
18,1999,Litchfield Island,322.0
19,2000,Litchfield Island,274.0
20,2001,Litchfield Island,166.0
21,2002,Litchfield Island,143.0
22,2003,Litchfield Island,52.0
23,2004,Litchfield Island,33.0
24,2005,Litchfield Island,15.0
25,2006,Litchfield Island,0.0
26,2006,Litchfield Island,4.0
27,2007,Litchfield Island,0.0
28,2008,Litchfield Island,0.0
29,1981,Litchfield Island,
30,2014,Litchfield Island,
31,1979,Ardley Island,
32,1980,Ardley Island,960.0
33,1983,Ardley Island,1074.0
34,1983,Ardley Island,1074.0
35,1984,Ardley Island,1331.0
36,1985,Ardley Island,929.0
37,1986,Ardley Island,1160.0
38,1987,Ardley Island,
39,1989,Ardley Island,
40,1990,Ardley Island,
41,1991,Ardley Island,
42,1992,Ardley Island,
43,1993,Ardley Island,
44,1994,Ardley Island,1095.0
45,1995,Ardley Island,1226.0
46,1996,Ardley Island,923.0
47,1997,Ardley Island,1173.0
48,1998,Ardley Island,1192.0
49,1999,Ardley Island,974.0
50,2000,Ardley Island,880.0
51,2001,Ardley Island,780.0
52,2002,Ardley Island,771.0
53,2003,Ardley Island,559.0
54,2004,Ardley Island,409.0
55,2005,Ardley Island,334.0
56,2006,Ardley Island,
57,2006,Ardley Island,
58,2007,Ardley Island,
59,2008,Ardley Island,
60,1981,Ardley Island,1314.0
61,2014,Ardley Island,260.0
